,id,tags,title
18,41154,"agents j (will smith) and k (tommy lee jones) are back...in time. j has seen some inexplicable things in his 15 years with the men in black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. but when k's life and the fate of the planet are put at stake, agent j will have to travel back in time to put things right. j discovers that there are secrets to the universe that k never told him - secrets that will reveal themselves as he teams up with the young agent k (josh brolin) to save his partner, the agency, and the future of humankind. timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory action comedy sciencefiction willsmith tommyleejones joshbrolin barrysonnenfeld",Men in Black 3
19,122917,"immediately after the events of the desolation of smaug, bilbo and the dwarves try to defend erebor's mountain of treasure from others who claim it: the men of the ruined laketown and the elves of mirkwood. meanwhile an army of orcs led by azog the defiler is marching on erebor, fueled by the rise of the dark lord sauron. dwarves, elves and men must unite, and the hope for middle-earth falls into bilbo's hands. corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery action adventure fantasy martinfreeman ianmckellen richardarmitage peterjackson",The Hobbit: The Battle of the Five Armies
20,1930,"peter parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his uncle ben and aunt may. like most teenagers, peter is trying to figure out who he is and how he got to be the person he is today. as peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to oscorp and the lab of dr. curt connors, his father's former partner. as spider-man is set on a collision course with connors' alter ego, the lizard, peter will make life-altering choices to use his powers and shape his destiny to become a hero. lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger action adventure fantasy andrewgarfield emmastone rhysifans marcwebb",The Amazing Spider-Man
21,20662,"when soldier robin happens upon the dying robert of loxley, he promises to return the man's sword to his family in nottingham. there, he assumes robert's identity; romances his widow, marion; and draws the ire of the town's sheriff and king john's henchman, godfrey. robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland action adventure russellcrowe cateblanchett maxvonsydow ridleyscott",Robin Hood
22,57158,"the dwarves, bilbo and gandalf have successfully escaped the misty mountains, and bilbo has gained the one ring. they all continue their journey to get their gold back from the dragon, smaug. elves dwarves orcs hobbit dragon wizard swordandsorcery adventure fantasy martinfreeman ianmckellen richardarmitage peterjackson",The Hobbit: The Desolation of Smaug
23,2268,"after overhearing a shocking secret, precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north, unaware that it's part of her destiny. england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel adventure fantasy dakotabluerichards nicolekidman danielcraig chrisweitz",The Golden Compass
24,254,"in 1933 new york, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island, where they encounter kong, a giant ape who is immediately smitten with the leading lady. filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur adventure drama action naomiwatts jackblack adrienbrody peterjackson",King Kong
25,597,"84 years later, a 101-year-old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert, brock lovett, lewis bodine, bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912, on a ship called titanic when young rose boards the departing ship with the upper-class passengers and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist named jack dawson and his best friend fabrizio de rossi win third-class tickets to the ship in a game. and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th, 1912 at 2:20 in the morning. shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s drama romance thriller katewinslet leonardodicaprio francesfisher jamescameron",Titanic
26,271110,"following the events of age of ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. this polarizes opinion amongst the avengers, causing two factions to side with iron man or captain america, which causes an epic battle between former allies. civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d adventure action sciencefiction chrisevans robertdowneyjr. scarlettjohansson anthonyrusso",Captain America: Civil War
27,44833,"when mankind beams a radio signal into space, a reply comes from ‘planet g’, in the form of several alien crafts that splash down in the waters off hawaii. lieutenant alex hopper is a weapons officer assigned to the uss john paul jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. while taking on the invaders, hopper must also try to live up to the potential his brother, and his fiancée's father, admiral shane, expect of him. fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri thriller action adventure sciencefiction taylorkitsch alexanderskarsgård rihanna peterberg",Battleship
28,135397,"twenty-two years after the events of jurassic park, isla nublar now features a fully functioning dinosaur theme park, jurassic world, as originally envisioned by john hammond. monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror action adventure sciencefiction thriller chrispratt brycedallashoward irrfankhan colintrevorrow",Jurassic World
29,37724,"when bond's latest assignment goes gravely wrong and agents around the world are exposed, mi6 is attacked forcing m to relocate the agency. these events cause her authority and position to be challenged by gareth mallory, the new chairman of the intelligence and security committee. with mi6 now compromised from both inside and out, m is left with one ally she can trust: bond. 007 takes to the shadows - aided only by field agent, eve - following a trail to the mysterious silva, whose lethal and hidden motives have yet to reveal themselves. spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao action adventure thriller danielcraig judidench javierbardem sammendes",Skyfall
30,558,"peter parker is going through a major identity crisis. burned out from being spider-man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil doc ock. in the meantime, parker still can't act on his feelings for mary jane watson, a girl he's loved since childhood. dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain action adventure fantasy tobeymaguire kirstendunst jamesfranco samraimi",Spider-Man 2
31,68721,"when tony stark's world is torn apart by a formidable terrorist called the mandarin, he starts an odyssey of rebuilding and retribution. terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis action adventure sciencefiction robertdowneyjr. gwynethpaltrow doncheadle shaneblack",Iron Man 3
32,12155,"alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an english nobleman. at her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. arriving in a strange and surreal place called 'underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. alice realizes that she is there for a reason – to conquer the horrific jabberwocky and restore the rightful queen to her throne. basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d family fantasy adventure miawasikowska johnnydepp annehathaway timburton",Alice in Wonderland
33,36668,"when a cure is found to treat mutations, lines are drawn amongst the x-men and the brotherhood, a band of powerful mutants organized under xavier's former ally, magneto. mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger adventure action sciencefiction thriller hughjackman halleberry ianmckellen brettratner",X-Men: The Last Stand
34,62211,a look at the relationship between mike and sulley during their days at monsters university — when they weren't necessarily the best of friends. monster dormitory games animation bestfriend university scary aftercreditsstinger animation family billycrystal johngoodman stevebuscemi danscanlon,Monsters University
35,8373,"sam witwicky leaves the autobots behind for a normal life. but when his mind is filled with cryptic symbols, the decepticons target him and he is dragged back into the transformers' war. egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger sciencefiction action adventure shialabeouf meganfox joshduhamel michaelbay",Transformers: Revenge of the Fallen
36,91314,"as humanity picks up the pieces, following the conclusion of ""transformers: dark of the moon,"" autobots and decepticons have all but vanished from the face of the planet. however, a group of powerful, ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful transformer menace sets earth in his cross-hairs. sequel alien transformers giantrobot robot imax transformingrobot sciencefiction action adventure markwahlberg stanleytucci kelseygrammer michaelbay",Transformers: Age of Extinction
37,68728,"oscar diggs, a small-time circus illusionist and con-artist, is whisked from kansas to the land of oz where the inhabitants assume he's the great wizard of prophecy, there to save oz from the clutches of evil. circus witch magic hope illusion lost magictrick wizard 3d fantasy adventure family jamesfranco milakunis rachelweisz samraimi",Oz: The Great and Powerful
38,102382,"for peter parker, life is busy. between taking out the bad guys as spider-man and spending time with the person he loves, gwen stacy, high school graduation cannot come quickly enough. peter has not forgotten about the promise he made to gwen’s father to protect her by staying away, but that is a promise he cannot keep. things will change for peter when a new villain, electro, emerges, an old friend, harry osborn, returns, and peter uncovers new clues about his past. obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers action adventure fantasy andrewgarfield emmastone jamiefoxx marcwebb",The Amazing Spider-Man 2
39,20526,"sam flynn, the tech-savvy and daring son of kevin flynn, investigates his father's disappearance and is pulled into the grid. with the help of a mysterious program named quorra, sam quests to stop evil dictator clu from crossing into the real world. artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy adventure action sciencefiction garretthedlund jeffbridges oliviawilde josephkosinski",TRON: Legacy
40,49013,star race car lightning mcqueen and his pal mater head overseas to compete in the world grand prix race. but the road to the championship becomes rocky as mater gets caught up in an intriguing adventure of his own: international espionage. carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger animation family adventure comedy owenwilson larrythecableguy michaelcaine johnlasseter,Cars 2
41,44912,"for centuries, a small but powerful force of warriors called the green lantern corps has sworn to keep intergalactic order. each green lantern wears a ring that grants him superpowers. but when a new enemy called parallax threatens to destroy the balance of power in the universe, their fate and the fate of earth lie in the hands of the first human ever recruited. dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d adventure action thriller sciencefiction ryanreynolds blakelively petersarsgaard martincampbell",Green Lantern
42,10193,"woody, buzz, and the rest of andy's toys haven't been played with in years. with andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. the toys must band together to escape and return home to andy. hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory animation family comedy tomhanks timallen nedbeatty leeunkrich",Toy Story 3
43,534,"all grown up in post-apocalyptic 2018, john connor must lead the resistance of humans against the increasingly dominating militaristic robots. but when marcus wright appears, his existence confuses the mission as connor tries to determine whether wright has come from the future or the past -- and whether he's friend or foe. savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles action sciencefiction thriller christianbale samworthington antonyelchin mcg",Terminator Salvation
44,168259,deckard shaw seeks revenge against dominic toretto and his family for his comatose brother. carrace speed revenge suspense car race musclecar action vindiesel paulwalker dwaynejohnson jameswan,Furious 7
45,72190,"life for former united nations investigator gerry lane and his family seems content. suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. after barely escaping the chaos, lane is persuaded to go on a mission to investigate this disease. what follows is a perilous trek around the world where lane must brave horrific dangers and long odds to find answers before human civilization falls. dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse action drama horror sciencefiction thriller bradpitt mireilleenos abigailhargrove marcforster",World War Z
46,127585,the ultimate x-men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future. 1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture action adventure fantasy sciencefiction hughjackman jamesmcavoy michaelfassbender bryansinger,X-Men: Days of Future Past
47,54138,"when the crew of the enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis. with a personal score to settle, captain kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. as our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family kirk has left: his crew. spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d action adventure sciencefiction chrispine zacharyquinto zoesaldana j.j.abrams",Star Trek Into Darkness
48,81005,"the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. unleashed on the earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, jack into the battle of his life to stop them. fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself. basedonfairytale giant action family fantasy nicholashoult eleanortomlinson ewanmcgregor bryansinger",Jack the Giant Slayer
49,64682,"an adaptation of f. scott fitzgerald's long island-set novel, where midwesterner nick carraway is lured into the lavish world of his neighbor, jay gatsby. soon enough, however, carraway will see through the cracks of gatsby's nouveau riche existence, where obsession, madness, and tragedy await. basedonnovel infidelity obsession hope 3d drama romance leonardodicaprio tobeymaguire careymulligan bazluhrmann",The Great Gatsby
50,9543,"a rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time – gift from the gods that can reverse time and allow its possessor to rule the world. persia sandstorm brotheragainstbrother armageddon regent basedonvideogame adventure fantasy action romance jakegyllenhaal gemmaarterton benkingsley mikenewell",Prince of Persia: The Sands of Time
51,68726,"when legions of monstrous creatures, known as kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. to combat the giant kaiju, a special type of weapon was devised: massive robots, called jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. but even the jaegers are proving nearly defenseless in the face of the relentless kaiju. on the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (charlie hunnam) and an untested trainee (rinko kikuchi)—who are teamed to drive a legendary but seemingly obsolete jaeger from the past. together, they stand as mankind's last hope against the mounting apocalypse. dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d action sciencefiction adventure idriselba charliehunnam charlieday guillermodeltoro",Pacific Rim
52,38356,"sam witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of autobot-leader optimus prime. the film centers around the space race between the ussr and the usa, suggesting there was a hidden transformers role in it all that remains one of the planet's most dangerous secrets. moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger action sciencefiction adventure shialabeouf johnmalkovich kenjeong michaelbay",Transformers: Dark of the Moon
53,217,"set during the cold war, the soviets – led by sword-wielding irina spalko – are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold. after being captured and then escaping from them, indy is coerced to head to peru at the behest of a young man whose friend – and indy's colleague – professor oxley has been captured for his knowledge of the skull's whereabouts. savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology  adventure action harrisonford cateblanchett shialabeouf stevenspielberg",Indiana Jones and the Kingdom of the Crystal Skull
54,105864,an epic journey into the world of dinosaurs where an apatosaurus named arlo makes an unlikely human friend. tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey adventure animation family raymondochoa jackbright jeffreywright petersohn,The Good Dinosaur
55,62177,"brave is set in the mystical scottish highlands, where mérida is the princess of a kingdom ruled by king fergus and queen elinor. an unruly daughter and an accomplished archer, mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. in an attempt to set things right, mérida seeks out an eccentric old wise woman and is granted an ill-fated wish. also figuring into mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous lord macguffin, the surly lord macintosh, and the disagreeable lord dingwall. scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d animation adventure comedy family action fantasy kellymacdonald juliewalters billyconnolly brendachapman",Brave
56,188927,"the uss enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test. sequel stranded hatred spaceopera action adventure sciencefiction chrispine zacharyquinto karlurban justinlin",Star Trek Beyond
57,10681,"wall·e is the last robot left on an earth that has been overrun with garbage and all humans have fled to outer space. for 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. when a ship arrives with a sleek new type of robot, wall·e thinks he's finally found a friend and stows away on the ship when it leaves. romanticcomedy animation family benburtt elissaknight jeffgarlin andrewstanton",WALL·E
58,5174,"after an attempted assassination on ambassador han, inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the triads' secret leaders. lee also holds secret meetings with a united nations authority, but his personal struggles with a chinese criminal mastermind named kenji, which reveals that it's lee's long-lost...brother. ambassador action comedy crime thriller christucker jackiechan hiroyukisanada brettratner",Rush Hour 3
59,14161,"dr. adrian helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. he warns u.s. president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. meanwhile, writer jackson curtis stumbles on the same information. while the world's leaders race to build ""arks"" to escape the impending cataclysm, curtis struggles to find a way to save his family. meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world. civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind action adventure sciencefiction johncusack amandapeet chiwetelejiofor rolandemmerich",2012
60,17979,"miser ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption. holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas animation drama garyoldman jimcarrey stevevalentine robertzemeckis",A Christmas Carol
61,76757,"in a universe where human genetic material is the most precious commodity, an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty… jupiter space womandirector 3d interspeciesromance sciencefiction fantasy action adventure milakunis channingtatum seanbean lillywachowski",Jupiter Ascending
62,258489,"tarzan, having acclimated to life in london, is called back to his former home in the jungle to investigate the activities at a mining encampment. africa feralchild tarzan jungle animalattack action adventure alexanderskarsgård margotrobbie christophwaltz davidyates",The Legend of Tarzan
63,411,"siblings lucy, edmund, susan and peter step through a magical wardrobe and find the land of narnia. there, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil white witch, jadis. aided by the wise and magnificent lion, aslan, the children lead narnia into a spectacular, climactic battle to be free of the witch's glacial powers forever. savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice winter cupboard beaver lion fairy-talefigure battle narnia fantasyworld duringcreditsstinger adventure family fantasy williammoseley annapopplewell skandarkeynes andrewadamson","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
64,246655,"after the re-emergence of the world's first mutant, world-destroyer apocalypse, the x-men must unite to defeat his extinction level plan. mutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980s sciencefiction jamesmcavoy michaelfassbender jenniferlawrence bryansinger",X-Men: Apocalypse
65,155,"batman raises the stakes in his war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman sets out to dismantle the remaining criminal organizations that plague the streets. the partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker. dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman drama action crime thriller christianbale heathledger aaroneckhart christophernolan",The Dark Knight
66,14160,"carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. but at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old wilderness explorer named russell) gives him a new lease on life. agedifference centralandsouthamerica balloon animation floatingintheair duringcreditsstinger exploring animation comedy family adventure edasner christopherplummer jordannagai petedocter",Up
67,15512,"when susan murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. the military jumps into action and captures susan, secreting her away to a covert government compound. she is renamed ginormica and placed in confinement with a ragtag group of monsters... alien giantrobot duringcreditsstinger animation family adventure sciencefiction sethrogen reesewitherspoon hughlaurie conradvernon",Monsters vs Aliens
68,1726,"after being held captive in an afghan cave, billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil. middleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulson action sciencefiction adventure robertdowneyjr. terrencehoward jeffbridges jonfavreau",Iron Man
